index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Option Trade,Bank Fees,Tax
2050,1,2,8,0,50000,90882.05422610404,1782.001063256942,0,0,0,7199.2842955580445,0,-1799.8210738895111
2051,1,2,8,0,50000,92699.69531062612,1817.6410845220807,0,0,0,7343.269981469207,0,-1835.8174953673017
2052,1,2,8,0,50000,94553.68921683864,1853.9939062125225,0,0,0,7490.13538109859,0,-1872.5338452746475
2053,1,2,8,0,50000,96444.76300117541,1891.0737843367729,0,0,0,7639.938088720562,0,-1909.9845221801404
2054,1,2,8,0,50000,98373.65826119891,1928.8952600235082,0,0,0,7792.736850494973,0,-1948.1842126237432
2055,1,2,8,0,50000,100341.13142642289,1967.4731652239784,0,0,0,7948.591587504872,0,-1987.147896876218
2056,1,2,8,0,50000,102347.95405495135,2006.8226285284577,0,0,0,8107.56341925497,0,-2026.8908548137424
2057,1,2,8,0,50000,104394.91313605038,2046.959081099027,0,0,0,8269.71468764007,0,-2067.4286719100173
2058,1,2,8,0,50000,106482.81139877139,2087.8982627210075,0,0,0,8435.10898139287,0,-2108.7772453482175
2059,1,2,8,0,50000,108612.46762674682,2129.656227975428,0,0,0,8603.811161020729,0,-2150.952790255182
2060,1,2,8,0,50000,110784.71697928176,2172.2493525349364,0,0,0,8775.887384241143,0,-2193.9718460602858
2061,1,2,8,0,50000,113000.4113188674,2215.694339585635,0,0,0,8951.405131925967,0,-2237.8512829814917
2062,1,2,8,0,50000,115260.41954524475,2260.008226377348,0,0,0,9130.433234564485,0,-2282.6083086411213
2063,1,2,8,0,50000,117565.62793614964,2305.208390904895,0,0,0,9313.041899255775,0,-2328.260474813944
2064,1,2,8,0,50000,119916.94049487263,2351.312558722993,0,0,0,9499.30273724089,0,-2374.8256843102226
2065,1,2,8,0,50000,122315.27930477008,2398.338809897453,0,0,0,9689.28879198571,0,-2422.3221979964273
2066,1,2,8,0,50000,124761.58489086549,2446.305586095402,0,0,0,9883.074567825422,0,-2470.7686419563556
2067,1,2,8,0,50000,127256.81658868279,2495.23169781731,0,0,0,10080.73605918193,0,-2520.1840147954827
2068,1,2,8,0,50000,129801.95292045645,2545.136331773656,0,0,0,10282.35078036557,0,-2570.5876950913926
2069,1,2,8,0,50000,132397.99197886558,2596.0390584091288,0,0,0,10487.99779597288,0,-2621.99944899322
2070,1,2,8,0,50000,135045.9518184429,2647.959839577312,0,0,0,10697.757751892339,0,-2674.4394379730848
2071,1,2,8,0,50000,137746.87085481177,2700.919036368858,0,0,0,10911.712906930186,0,-2727.9282267325466
2072,1,2,8,0,50000,140501.808271908,2754.9374170962355,0,0,0,11129.94716506879,0,-2782.4867912671975
2073,1,2,8,0,50000,143311.84443734615,2810.03616543816,0,0,0,11352.546108370167,0,-2838.1365270925417
2074,1,2,8,0,50000,146178.0813260931,2866.2368887469233,0,0,0,11579.59703053757,0,-2894.8992576343926
2075,1,2,8,0,50000,149101.64295261496,2923.561626521862,0,0,0,11811.188971148322,0,-2952.7972427870804
