index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - Dividend,Bank Fees,Tax
2055,1,4,3,0,150000,802297.5219675784,30857.59699875302,0,0,0,23606.061704046057,0,-5901.515426011514
2056,1,4,3,0,150000,834389.4228462816,32091.900878703138,0,0,0,24550.3041722079,0,-6137.576043051975
2057,1,4,3,0,150000,867764.9997601329,33375.57691385126,0,0,0,25532.316339096218,0,-6383.0790847740545
2058,1,4,3,0,150000,902475.5997505381,34710.59999040532,0,0,0,26553.608992660065,0,-6638.402248165016
2059,1,4,3,0,150000,938574.6237405597,36099.023990021524,0,0,0,27615.753352366468,0,-6903.938338091617
2060,1,4,3,0,150000,976117.6086901821,37542.98494962239,0,0,0,28720.383486461127,0,-7180.095871615282
2061,1,4,3,0,150000,1015162.3130377894,39044.70434760729,0,0,0,29869.19882591957,0,-7467.299706479893
2062,1,4,3,0,150000,1055768.805559301,40606.49252151158,0,0,0,31063.966778956357,0,-7765.991694739089
2063,1,4,3,0,150000,1097999.557781673,42230.752222372044,0,0,0,32306.52545011461,0,-8076.631362528652
2064,1,4,3,0,150000,1141919.54009294,43919.982311266926,0,0,0,33598.78646811919,0,-8399.696617029798
2065,1,4,3,0,150000,1187596.3216966577,45676.7816037176,0,0,0,34942.73792684397,0,-8735.684481710992
2066,1,4,3,0,150000,1235100.174564524,47503.852867866306,0,0,0,36340.44744391773,0,-9085.111860979432
2067,1,4,3,0,150000,1284504.181547105,49404.00698258096,0,0,0,37794.06534167443,0,-9448.516335418608
2068,1,4,3,0,150000,1335884.3488089894,51380.167261884206,0,0,0,39305.82795534141,0,-9826.456988835353
2069,1,4,3,0,150000,1389319.722761349,53435.37395235958,0,0,0,40878.06107355508,0,-10219.51526838877
2070,1,4,3,0,150000,1444892.511671803,55572.788910453964,0,0,0,42513.18351649728,0,-10628.29587912432
2071,1,4,3,0,150000,1502688.2121386752,57795.70046687212,0,0,0,44213.710857157166,0,-11053.427714289292
2072,1,4,3,0,150000,1562795.7406242222,60107.52848554701,0,0,0,45982.25929144345,0,-11495.564822860862
2073,1,4,3,0,150000,1625307.570249191,62511.82962496889,0,0,0,47821.5496631012,0,-11955.3874157753
2074,1,4,3,0,150000,1690319.8730591587,65012.302809967645,0,0,0,49734.411649625246,0,-12433.602912406312
2075,1,4,3,0,150000,1757932.667981525,67612.79492236635,0,0,0,51723.78811561026,0,-12930.947028902565
